client_id	path	sentence	age	gender	accents	duration
4a	common_voice_en_22338655.mp3	The prints are then delivered to the customer.	adult	female_feminine	Hong Kong English	5.208
5a	common_voice_en_37185966.mp3	She is married to the rapper and playwright Baba Brinkman.	adult	female_feminine		4.788
10a	common_voice_en_21568053.mp3	Cador is also said to be of Roman stock.	adult	female_feminine		5.064
12a	common_voice_en_17746709.mp3	During the epoch, a majority of the city's buildings were erected.	adult	female_feminine	United States English	6.072
18a	common_voice_en_534327.mp3	Plastic surgery has become more popular.	adult	female_feminine	United States English	7.464
29a	common_voice_en_17813315.mp3	What did you say your name was?	adult	female_feminine		2.904
45a	common_voice_en_19610056.mp3	"Philip then tells his parents that he was suspended for ""singing"" the National Anthem."	adult	female_feminine	United States English	7.608
50a	common_voice_en_20800498.mp3	Once these roots reach the ground they grow into woody trunks.	adult	female_feminine	Canadian English	5.064
58a	common_voice_en_35832645.mp3	The department includes the orchestra, choir, band, visual arts, and theater productions.	adult	female_feminine		9.036
62a	common_voice_en_17369339.mp3	In surprise finish, the final score was seven to five.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	5.568
69a	common_voice_en_19936931.mp3	Ritz productions include To Kill A Mockingbird and Big, among others.	adult	female_feminine		7.704
70a	common_voice_en_26841931.mp3	The two platforms are now linked by a footbridge.	adult	female_feminine	England English	5.328
73a	common_voice_en_18392203.mp3	I am afraid that I would need to charge you for that.	adult	female_feminine	England English	4.872
74a	common_voice_en_17960994.mp3	They are very impressive, I will admit.	adult	female_feminine		4.584
81a	common_voice_en_17442655.mp3	Please, be humble.	adult	female_feminine		2.832
86a	common_voice_en_37433497.mp3	A basketball was too heavy while the basketball bladder was too light.	adult	female_feminine	United States English	5.328
95a	common_voice_en_36550095.mp3	Subsequently he was mayor of Guayaquil, and chief of the custom-house service.	adult	female_feminine		8.604
100a	common_voice_en_22140642.mp3	seven	adult	female_feminine		3.312
112a	common_voice_en_19596930.mp3	Their presence was necessary because of strong civil unrest in the area.	adult	female_feminine	Filipino	8.616
119a	common_voice_en_36435650.mp3	I am going to be hanged like a dog.	adult	female_feminine		4.248
122a	common_voice_en_18238482.mp3	Japanese culture is incredibly addictive, their buildings look amazing.	adult	female_feminine	England English	6.264
125a	common_voice_en_25619619.mp3	For example, saves the current file; goes to the search menu.	adult	female_feminine		7.92
142a	common_voice_en_24427130.mp3	After that, he and his brother Christopher were put into foster care separately.	adult	female_feminine		8.82
143a	common_voice_en_37728197.mp3	Hammerhead shot the gang while Silvermane was fed to a metal crusher.	adult	female_feminine		6.048
148a	common_voice_en_17935705.mp3	Java is not only an island, but also a popular programming language.	adult	female_feminine	India and South Asia (India, Pakistan, Sri Lanka)	6.048
153a	common_voice_en_35854111.mp3	He is a senior lecturer of creative writing at Yale University.	adult	female_feminine		6.876
